source_figure,sweep_direction,npr,pinc_over_pa,digitization_uncertainty_npr,digitization_uncertainty_pinc_over_pa,experimental_uncertainty_pinc_over_pa
7b,startup,21.992611,0.323073,0.165,0.0026,
7b,startup,25.972600,0.296528,0.165,0.0026,
7b,startup,29.953500,0.283877,0.165,0.0026,
7b,startup,32.907085,0.262383,0.165,0.0026,
7b,startup,34.999765,0.223180,0.165,0.0026,
7b,startup,37.092907,0.230766,0.165,0.0026,
7b,startup,40.005698,0.237717,0.165,0.0026,
7b,startup,50.058806,0.267440,0.165,0.0026,
7b,startup,59.947351,0.308536,0.165,0.0026,
7b,shutdown,59.947351,0.308536,0.165,0.0026,
7b,shutdown,50.058820,0.250368,0.165,0.0026,
7b,shutdown,40.005698,0.233295,0.165,0.0026,
7b,shutdown,34.999779,0.204208,0.165,0.0026,
7b,shutdown,32.907099,0.199157,0.165,0.0026,
7b,shutdown,29.953500,0.174498,0.165,0.0026,
7b,shutdown,28.066204,0.170069,0.165,0.0026,
7b,shutdown,25.972600,0.184613,0.165,0.0026,
7b,shutdown,24.085752,0.172605,0.165,0.0026,
7b,shutdown,21.992625,0.174498,0.165,0.0026,
7b,shutdown,19.941200,0.165012,0.165,0.0026,
7b,shutdown,18.012635,0.201686,0.165,0.0026,
7b,shutdown,15.059049,0.216223,0.165,0.0026,
7b,shutdown,10.052655,0.359747,0.165,0.0026,
