source_figure,sweep_direction,npr,x_sep_over_rt,digitization_uncertainty_npr,digitization_uncertainty_x_sep_over_rt,experimental_uncertainty_x_sep_over_rt
7a,startup,10.053020,1.615972,0.155,0.055,
7a,startup,13.983635,2.644377,0.155,0.055,
7a,startup,22.009413,4.436453,0.155,0.055,
7a,startup,25.939569,5.244440,0.155,0.055,
7a,startup,30.035655,6.155331,0.155,0.055,
7a,startup,33.055720,7.565491,0.155,0.055,
7a,startup,36.034647,10.870962,0.155,0.055,
7a,startup,36.985411,10.870962,0.155,0.055,
7a,startup,38.061433,10.327380,0.155,0.055,
7a,startup,39.013114,10.165717,0.155,0.055,
7a,startup,39.964345,10.165717,0.155,0.055,
7a,startup,44.060431,10.914947,0.155,0.055,
7a,startup,50.017825,11.517284,0.155,0.055,
7a,startup,59.946980,12.104851,0.155,0.055,
7a,shutdown,39.964345,10.165712,0.155,0.055,
7a,shutdown,38.061433,10.165712,0.155,0.055,
7a,shutdown,36.985411,10.327375,0.155,0.055,
7a,shutdown,36.034654,10.870956,0.155,0.055,
7a,shutdown,33.965812,10.870956,0.155,0.055,
7a,shutdown,33.055720,10.327375,0.155,0.055,
7a,shutdown,31.938567,10.004214,0.155,0.055,
7a,shutdown,30.035655,9.357727,0.155,0.055,
7a,shutdown,28.007952,8.535134,0.155,0.055,
7a,shutdown,25.939569,8.167822,0.155,0.055,
7a,shutdown,24.078261,7.727147,0.155,0.055,
7a,shutdown,22.009413,7.139581,0.155,0.055,
7a,shutdown,19.982175,6.640150,0.155,0.055,
7a,shutdown,17.913792,6.860405,0.155,0.055,
7a,shutdown,16.052019,6.434502,0.155,0.055,
7a,shutdown,13.983642,2.923382,0.155,0.055,
7a,shutdown,10.053027,1.733478,0.155,0.055,
