source_figure,sweep_direction,npr,profile_type,station_label,x_rt,pwall_over_pa,text_x_rt_min,text_x_rt_max,digitization_uncertainty_x_rt,digitization_uncertainty_pwall_over_pa,experimental_uncertainty_pwall_over_pa
3a,startup,30,mean_pressure_15s_hold,base_01,2.561288,0.785751,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_02,3.363239,0.595248,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_03,4.161352,0.460987,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_04,4.951839,0.374928,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_05,5.750097,0.310668,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_06,6.551951,0.262452,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_07,7.350160,0.573442,,,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_08,8.144435,0.811566,8.145,8.145,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_09,8.942645,0.871803,8.945,8.945,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_10,9.725599,0.895904,9.734,9.735,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_11,10.531292,0.897042,10.540,10.540,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_12,11.329406,0.919444,11.340,11.340,0.018,0.003,
3a,startup,30,mean_pressure_15s_hold,base_13,12.119986,0.929189,12.135,12.135,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_01,2.557500,0.833934,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_02,3.363240,0.637708,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_03,4.161353,0.489666,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_04,4.951887,0.409343,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_05,5.750096,0.334750,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_06,6.555789,0.285415,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_07,7.350112,0.252131,,,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_08,8.144532,0.427708,8.145,8.145,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_09,8.942597,0.735252,8.945,8.945,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_10,9.729341,0.802958,9.734,9.735,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_11,10.531243,0.845412,10.540,10.540,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_12,11.329405,0.874106,11.340,11.340,0.018,0.003,
3a,startup,33,mean_pressure_15s_hold,base_13,12.119938,0.918855,12.135,12.135,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_01,2.557499,0.838525,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_02,3.363240,0.641155,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_03,4.161353,0.488521,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_04,4.951887,0.405909,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_05,5.750096,0.330171,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_06,6.555788,0.276233,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_07,7.350111,0.245826,,,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_08,8.144532,0.220005,8.145,8.145,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_09,8.942596,0.232627,8.945,8.945,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_10,9.729341,0.217702,9.734,9.735,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_11,10.531244,0.327883,10.540,10.540,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_12,11.329405,0.620501,11.340,11.340,0.018,0.003,
3a,startup,35,mean_pressure_15s_hold,base_13,12.119940,0.825909,12.135,12.135,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_01,2.565078,0.890175,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_02,3.363191,0.674419,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_03,4.161353,0.520086,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_04,4.951934,0.427140,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_05,5.750001,0.350819,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_06,6.555836,0.296305,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_07,7.353902,0.264185,,,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_08,8.144436,0.243531,8.145,8.145,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_09,8.942645,0.260169,8.945,8.945,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_10,9.725600,0.231469,9.734,9.735,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_11,10.531340,0.419677,10.540,10.540,0.018,0.003,
3a,startup,37,mean_pressure_15s_hold,base_12,11.329405,0.683034,11.340,11.340,0.018,0.003,
