"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          1,           0,           0,             1e-07,             1e-07,      -2.326060894,      0.4391269695,      0.3108802726,       3.110345303,        2.12998554,       5.168547253
          1,           0,          10,             1e-07,             1e-07,      -3.151201707,     -0.5209384463,     -0.6296368121,       2.333101474,       1.192666218,       5.290047326
          1,           0,          20,             1e-07,             1e-07,      -3.381071552,     -0.6965512802,       -0.81330549,       2.099223951,       1.012364525,       5.209677676
          1,           0,          30,             1e-07,             1e-07,      -3.529930432,     -0.8278213676,     -0.9699135453,       1.949697394,       0.913613456,       5.133422869
          1,           0,          40,             1e-07,             1e-07,      -3.628185326,     -0.9376117841,      -1.111712794,       1.849439206,      0.8307849594,       5.060290158
          1,           0,          49,             1e-07,             1e-07,      -3.710289978,      -1.026204527,      -1.203820595,       1.763574811,      0.7662831104,       4.996570991
          2,           0,           0,             2e-07,             1e-07,      -2.338390777,      0.4251702427,      0.2757289434,       3.090014809,       2.092577796,       5.219409367
          2,           0,          10,             2e-07,             1e-07,      -3.348882052,     -0.5791170791,     -0.8123833928,       2.119089063,       0.923601633,       5.067322569
          2,           0,          20,             2e-07,             1e-07,      -3.526398654,     -0.7486437665,     -0.9878586534,       1.943945349,      0.7568115249,       4.930673827
          2,           0,          30,             2e-07,             1e-07,      -3.639023045,     -0.8811450116,      -1.106774487,       1.830607269,      0.6465285544,       4.805744446
          2,           0,          40,             2e-07,             1e-07,      -3.733550467,      -0.993669326,      -1.198064552,       1.732498684,      0.5555834094,       4.688643978
          2,           0,          49,             2e-07,             1e-07,      -3.812599831,      -1.082326248,      -1.266235819,       1.648254273,      0.4837907793,       4.587829306
          3,           0,           0,             3e-07,             1e-07,       -2.34627181,      0.4166624849,      0.2573495489,       3.076563365,       2.059465743,        5.02206266
          3,           0,          10,             3e-07,             1e-07,      -3.442210086,     -0.6140539896,      -0.880932662,       2.014247345,      0.8534269285,       4.888992758
          3,           0,          20,             3e-07,             1e-07,      -3.602377423,     -0.7907897342,      -1.036698408,        1.85868092,      0.6889442465,        4.76840534
          3,           0,          30,             3e-07,             1e-07,      -3.712422129,      -0.926876728,      -1.143063839,        1.74646542,      0.5865846397,       4.654701059
          3,           0,          40,             3e-07,             1e-07,      -3.808465637,      -1.039275525,      -1.224383436,       1.644691803,      0.5020877934,       4.545874583
          3,           0,          49,             3e-07,             1e-07,       -3.88836311,       -1.12540551,      -1.283605681,       1.557605689,      0.4355659728,       4.451246307
