"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          4,           0,           0,             1e-07,             1e-07,      -2.252676356,      0.4769243576,      0.3390320319,       3.130196224,       2.182054907,       4.998329887
          4,           0,          10,             1e-07,             1e-07,      -4.527931804,      -1.665083469,      -1.831668796,      0.7769050791,      0.1009048868,       3.755044359
          4,           0,          20,             1e-07,             1e-07,      -4.708095348,      -1.806042513,      -1.985051606,      0.5390675453,    -0.08019335314,       2.693201412
          4,           0,          29,             1e-07,             1e-07,      -4.799249288,      -1.891211226,      -2.075319125,      0.3937224173,     -0.1512423997,       1.861785744
          5,           0,           0,             2e-07,             1e-07,      -2.259854258,      0.4668952263,      0.3467829239,       3.117081744,       2.157870802,        4.87730364
          5,           0,          10,             2e-07,             1e-07,      -4.453676241,      -1.609953896,      -1.787302888,      0.8015694776,    -0.02890946979,       2.812783232
          5,           0,          20,             2e-07,             1e-07,      -4.636459418,      -1.742115041,      -1.943489549,      0.5896930575,     -0.1590395625,       1.181052995
          5,           0,          29,             2e-07,             1e-07,      -4.734713874,      -1.824113419,      -2.035016733,      0.4508469686,      -0.243359305,      0.1847068984
          6,           0,           0,             3e-07,             1e-07,      -2.260150941,      0.4656420885,      0.3400929146,       3.114981709,       2.134035497,        4.73990404
          6,           0,          10,             3e-07,             1e-07,      -4.426623939,      -1.588529783,      -1.746091679,      0.8176012766,   -0.004994519224,       2.690855358
          6,           0,          20,             3e-07,             1e-07,      -4.611938813,      -1.714907181,      -1.890863282,      0.6124143991,     -0.1289853025,       1.091884207
          6,           0,          29,             3e-07,             1e-07,      -4.713580792,      -1.794804653,      -1.977329082,      0.4776526754,     -0.2110584278,       0.192795174
          7,           0,           0,             4e-07,             1e-07,      -2.259689122,      0.4639737786,       0.326127689,       3.114425887,       2.111700752,       4.618490885
          7,           0,          10,             4e-07,             1e-07,      -4.411734618,      -1.576224014,      -1.706772625,      0.8307072009,    0.005239879545,       2.584884883
          7,           0,          20,             4e-07,             1e-07,      -4.597520876,      -1.698089173,      -1.839939133,        0.62910168,     -0.1148069461,      0.9967147166
          7,           0,          29,             4e-07,             1e-07,      -4.700976957,       -1.77657442,       -1.92276619,      0.4968514666,     -0.1958153413,      0.1871029035
          8,           0,           0,             5e-07,             1e-07,       -2.25870129,      0.4624303955,      0.3113858678,       3.115049902,       2.091865574,       4.523476481
          8,           0,          10,             5e-07,             1e-07,      -4.400946622,      -1.566125903,      -1.676051398,      0.8432061922,     0.01210057715,       2.522317002
          8,           0,          20,             5e-07,             1e-07,      -4.586429737,      -1.684790027,      -1.800588565,      0.6442735641,     -0.1049194516,      0.9391364348
