"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
      17501,           0,           0,             5e-08,             5e-08,      -2.823175412,     -0.2276344795,     -0.5275409899,       2.610732894,       1.435249802,       2.006690259
      17501,           0,          10,             5e-08,             5e-08,       -3.82753581,     -0.8918661978,      -1.195776882,       1.754724489,      0.5714658274,       0.720751419
      17501,           0,          20,             5e-08,             5e-08,      -3.832340787,      -0.897444332,      -1.200824162,       1.749392836,      0.5679511203,      0.6408351776
      17501,           0,          29,             5e-08,             5e-08,      -3.835541052,     -0.9017454696,      -1.204885723,       1.745514716,       0.565471263,      0.6331082885
      17502,           0,           0,             1e-07,             5e-08,      -2.823158766,     -0.2275626765,     -0.5275182179,       2.610745222,       1.435143815,        2.00620356
      17502,           0,          10,             1e-07,             5e-08,      -3.827517271,      -0.891870013,      -1.195765625,        1.75471193,      0.5668669474,      0.6451104073
      17502,           0,          20,             1e-07,             5e-08,      -3.832321394,     -0.8974484381,      -1.200813136,       1.749371836,      0.5620116181,      0.6270988435
      17502,           0,          29,             1e-07,             5e-08,      -3.835521075,     -0.9017497468,      -1.204875118,        1.74549387,      0.5580912383,       0.622234244
      17503,           0,           0,           1.5e-07,             5e-08,      -2.823141745,     -0.2275007146,     -0.5274998573,       2.610755981,       1.434965712,       2.005716731
      17503,           0,          10,           1.5e-07,             5e-08,      -3.827498714,     -0.8918743821,      -1.195760542,       1.754731779,      0.5683784999,      0.6470396141
      17503,           0,          20,           1.5e-07,             5e-08,      -3.832302002,     -0.8974527508,      -1.200807916,       1.749386228,      0.5633776476,      0.6286312863
      17503,           0,          29,           1.5e-07,             5e-08,      -3.835501109,     -0.9017540046,      -1.204869721,       1.745504958,      0.5593871648,      0.6236321702
      17504,           0,           0,             2e-07,             5e-08,      -2.823128756,     -0.2274552528,     -0.5275194797,       2.610762866,       1.434839209,       2.005203588
      17504,           0,          10,             2e-07,             5e-08,      -3.827480151,     -0.8918787438,      -1.195760423,        1.75473177,      0.5685424109,      0.6472879981
      17504,           0,          20,             2e-07,             5e-08,       -3.83228259,     -0.8974570811,      -1.200807614,       1.749386638,      0.5635255129,      0.6288335491
      17504,           0,          29,             2e-07,             5e-08,      -3.835481115,     -0.9017582938,      -1.204869157,        1.74550604,      0.5595269441,      0.6238179187
      17505,           0,           0,           2.5e-07,             5e-08,      -2.823115746,     -0.2274123943,     -0.5275402902,       2.610769501,       1.434704305,       2.004688318
      17505,           0,          10,           2.5e-07,             5e-08,      -3.827461568,     -0.8918830775,      -1.195765364,       1.754733958,      0.5685259904,       0.647265272
      17505,           0,          20,           2.5e-07,             5e-08,       -3.83226316,     -0.8974613906,      -1.200812345,       1.749389544,      0.5635105886,      0.6288343611
      17505,           0,          29,           2.5e-07,             5e-08,      -3.835461108,     -0.9017625678,      -1.204873567,       1.745509533,      0.5595135219,      0.6238257084
      17506,           0,           0,             3e-07,             5e-08,       -2.82310221,     -0.2273695027,     -0.5275600861,       2.610776754,       1.434567411,       2.004173899
      17506,           0,          10,             3e-07,             5e-08,      -3.827442968,     -0.8918873892,      -1.195775345,       1.754737962,      0.5685064155,      0.6472335141
      17506,           0,          20,             3e-07,             5e-08,      -3.832243716,     -0.8974656815,      -1.200822101,       1.749393791,      0.5634923071,      0.6288233036
      17506,           0,          29,             3e-07,             5e-08,      -3.835441085,     -0.9017668261,      -1.204882948,       1.745514098,      0.5594966008,       0.623821685
      17507,           0,           0,           3.5e-07,             5e-08,      -2.823088067,     -0.2273259387,     -0.5275782724,       2.610784695,       1.434430608,       2.003660727
      17507,           0,          10,           3.5e-07,             5e-08,      -3.827424351,     -0.8918916855,      -1.195790271,       1.754742481,      0.5684937875,      0.6472215211
      17507,           0,          20,           3.5e-07,             5e-08,       -3.83222428,     -0.8974699597,      -1.200836807,       1.749398415,      0.5634804831,      0.6288194716
      17507,           0,          29,           3.5e-07,             5e-08,      -3.835421061,     -0.9017710737,      -1.204897235,       1.745518976,      0.5594856894,      0.6238221502
      17508,           0,           0,             4e-07,             5e-08,      -2.823073327,     -0.2272816482,      -0.527594849,       2.610793263,       1.434294243,       2.003150223
      17508,           0,          10,             4e-07,             5e-08,      -3.827405722,     -0.8918959712,      -1.195810001,       1.754747212,      0.5684853422,      0.6472251634
      17508,           0,          20,             4e-07,             5e-08,      -3.832204823,     -0.8974742291,      -1.200856307,       1.749403232,      0.5634725909,      0.6288212723
      17508,           0,          29,             4e-07,             5e-08,      -3.835401011,      -0.901775314,      -1.204916278,       1.745524034,      0.5594784565,      0.6238259853
