"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
10530, 0.000000000000000e+00, 2.000000000000000e-02, 5.664658820541413e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.260640936685360e+07, 1.000000000000000e-10, 1.744035454373692e+08
10531, 4.514657229472262e-04, 1.998982989300236e-02, 5.658724341701811e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259680593897817e+07, 1.000000000000000e-10, 1.754664160725935e+08
10532, 9.017910976381969e-04, 1.995926696863415e-02, 5.659449178539256e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259920328649635e+07, 1.000000000000000e-10, 1.773162584306979e+08
10533, 1.349888021230837e-03, 1.990843278482284e-02, 5.658160491363600e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259682729543837e+07, 1.000000000000000e-10, 1.803002984716572e+08
10534, 1.794620486109054e-03, 1.983742186716829e-02, 5.657586165813306e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259576131281690e+07, 1.000000000000000e-10, 1.842803106605109e+08
10535, 2.235021141436741e-03, 1.974719379311706e-02, 5.656304778632957e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259288511825200e+07, 1.000000000000000e-10, 1.896245464353418e+08
10536, 2.669869016646968e-03, 1.963716159987645e-02, 5.655136009443922e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.259009864717966e+07, 1.000000000000000e-10, 1.963672201645156e+08
10537, 3.098043246235970e-03, 1.950762643482882e-02, 5.653309844684702e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.258575879347202e+07, 1.000000000000000e-10, 2.043432711942760e+08
10538, 3.518872840857099e-03, 1.936011886095013e-02, 5.651224098923309e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.258078063929389e+07, 1.000000000000000e-10, 2.139946079839588e+08
10539, 3.931393297661252e-03, 1.919499806444139e-02, 5.648666099759122e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.257468311795565e+07, 1.000000000000000e-10, 2.259766752763418e+08
10540, 4.334325889467367e-03, 1.901192373984649e-02, 5.645106527286302e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.256631572890378e+07, 1.000000000000000e-10, 2.401231189385355e+08
10541, 4.726952184495833e-03, 1.881200050581737e-02, 5.639982691906520e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.255443978652283e+07, 1.000000000000000e-10, 2.562087074932467e+08
10542, 5.109116937572497e-03, 1.859707673165155e-02, 5.632519187927433e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.253749418687076e+07, 1.000000000000000e-10, 2.658782143791564e+08
10543, 5.486898013188588e-03, 1.837911167657503e-02, 5.624556615174085e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.251903486534945e+07, 1.000000000000000e-10, 2.732708056276062e+08
10544, 5.862183877137016e-03, 1.816184091323646e-02, 5.617163572139727e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.250175167881102e+07, 1.000000000000000e-10, 2.796181821982705e+08
10545, 6.235715063407628e-03, 1.794688996351889e-02, 5.610047170241457e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.248530035494440e+07, 1.000000000000000e-10, 2.871693058802492e+08
10546, 6.606629768558379e-03, 1.773309908083132e-02, 5.603055032008661e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.246916090640027e+07, 1.000000000000000e-10, 2.951577487003475e+08
10547, 6.974670972531440e-03, 1.752034838432390e-02, 5.595579338512027e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.245191558450507e+07, 1.000000000000000e-10, 3.030088391160711e+08
10548, 7.339983878162977e-03, 1.730920380481220e-02, 5.587882464360890e+01, 0.000000000000000e+00, 0.000000000000000e+00, 1.243423959166756e+07, 1.000000000000000e-10, 3.108495089065530e+08
