"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          1,           0,           0,             5e-08,             5e-08,      -1.520567401,       1.020114524,     0.08385224684,       3.969953628,       2.025158332,       6.025515994
          1,           0,          10,             5e-08,             5e-08,      -3.477900561,     -0.6666481141,     -0.8834815825,       2.012114189,       1.028990893,       5.873856752
          1,           0,          20,             5e-08,             5e-08,      -3.632230512,     -0.8403926623,      -1.029261338,        1.85611027,      0.8247579416,       5.742151729
          1,           0,          30,             5e-08,             5e-08,       -3.71642618,     -0.9596762361,      -1.124619259,       1.772114784,      0.7515803679,        5.61707128
          1,           0,          40,             5e-08,             5e-08,      -3.777329993,      -1.051616334,      -1.195709614,       1.709932729,      0.6960982399,       5.516241742
          1,           0,          49,             5e-08,             5e-08,      -3.824417087,      -1.119026596,      -1.246487942,       1.661196804,      0.6544242466,       5.442678446
          2,           0,           0,             1e-07,             5e-08,       -1.54380018,       0.999707518,     0.04790239788,       3.944891588,       1.982456933,       5.571044062
          2,           0,          10,             1e-07,             5e-08,      -3.554878937,     -0.7345785613,     -0.9933165174,       1.927450179,      0.7462876747,       5.405924134
          2,           0,          20,             1e-07,             5e-08,      -3.706178093,     -0.9034478109,       -1.11727311,       1.776853833,       0.623342934,       5.286725976
          2,           0,          30,             1e-07,             5e-08,      -3.784062022,      -1.014811601,      -1.196152732,       1.700544447,       0.549112012,       5.191168453
          2,           0,          40,             1e-07,             5e-08,      -3.839386547,      -1.098231371,      -1.255649266,       1.646441253,      0.4904287218,       5.107703101
          2,           0,          49,             1e-07,             5e-08,       -3.87998392,      -1.158831104,      -1.300427534,       1.606525081,      0.4455252228,       5.039905602
          3,           0,           0,           1.5e-07,             5e-08,      -1.564548454,       0.982855218,     0.02332801406,       3.922847161,       1.943466818,        5.23462687
          3,           0,          10,           1.5e-07,             5e-08,      -3.591876026,     -0.7757777696,      -1.037163242,       1.890473342,      0.6756225572,       5.139976201
          3,           0,          20,           1.5e-07,             5e-08,      -3.744090152,     -0.9418591902,      -1.160477185,       1.739360522,      0.5557922593,       5.060563583
          3,           0,          30,           1.5e-07,             5e-08,      -3.820197973,      -1.048498108,      -1.238551023,       1.664303192,      0.4879077863,       4.989601595
          3,           0,          40,           1.5e-07,             5e-08,       -3.87343273,      -1.127847244,      -1.295850721,       1.611558814,      0.4344219823,       4.923979798
          3,           0,          49,           1.5e-07,             5e-08,      -3.911936253,      -1.185709311,      -1.337496601,        1.57334132,      0.3935593286,       4.868394749
