"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.023777264,      0.7423597834,      0.3135404604,       3.314016246,     -0.3363247181,       4.054577859
          0,           0,           1,      -2.015255191,      0.7479149104,      0.2593097003,       3.327341077,     -0.3316075733,       4.054486922
          0,           0,           2,      -2.008603365,      0.7518755636,      0.2070785478,       3.336414481,     -0.3269919951,       4.053217878
          0,           0,           3,      -2.002992233,      0.7551971883,      0.1779312394,       3.343247208,     -0.3219171878,       4.051855183
          0,           0,           4,      -1.998611918,      0.7579025874,      0.1625603044,       3.347676189,      -0.317161013,       4.050537827
          0,           0,           5,      -1.995395314,      0.7598195997,      0.1552538636,       3.350170591,     -0.3127684635,       4.049627331
          0,           0,           6,       -1.99295373,      0.7610435298,      0.1523680061,       3.351335809,     -0.3080395901,       4.049569981
          0,           0,           7,      -1.990623906,      0.7617715055,      0.1520073494,       3.351961667,     -0.3027386943,        4.04982567
          0,           0,           8,      -1.988025178,      0.7621397711,      0.1527593912,       3.352621917,     -0.2968016038,       4.050605919
          0,           0,           9,      -1.985091087,      0.7623602437,      0.1542576841,        3.35412589,     -0.2912924815,        4.05167905
          0,           0,          10,      -1.981951806,      0.7626164859,      0.1559673319,       3.355717803,     -0.2850459143,       4.052411032
          0,           0,          11,      -1.978988105,      0.7629041221,      0.1573895049,       3.356795358,     -0.2779382739,       4.053389006
          0,           0,          12,      -1.976989947,      0.7634754049,      0.1588573828,       3.356878848,     -0.2706541465,       4.054250382
          0,           0,          13,       -1.97472911,      0.7649432851,      0.1612834294,       3.357389737,     -0.2633659496,       4.055257963
          0,           0,          14,      -1.971973796,      0.7669157824,      0.1643789134,       3.358400886,     -0.2551484162,        4.05639921
          0,           0,          15,      -1.968448226,      0.7691359378,      0.1678234266,       3.359933335,     -0.2467261561,       4.057662594
          0,           0,          16,      -1.964859551,      0.7712833229,      0.1709974428,       3.362210676,     -0.2385478459,       4.059033474
          0,           0,          17,      -1.962116804,      0.7733088867,      0.1739045388,       3.363961493,     -0.2289195212,       4.060598126
          0,           0,          18,      -1.959767457,      0.7756875206,      0.1757969157,       3.365610533,     -0.2181926594,       4.062298206
          0,           0,          19,      -1.956681054,      0.7789062409,      0.1770125692,       3.368475871,     -0.2066796392,       4.064265877
          0,           0,          20,       -1.95273345,      0.7827699647,      0.1771372777,       3.372733801,     -0.1936714113,       4.066552023
          0,           0,          21,      -1.948503295,      0.7864679849,      0.1771286063,       3.377591686,     -0.1810281882,       4.068999855
          0,           0,          22,      -1.944216764,      0.7897362928,        0.17661415,       3.382067434,      -0.166928925,       4.071818633
          0,           0,          23,      -1.940129247,      0.7929910186,      0.1761858052,       3.386143438,     -0.1526118238,       4.074646145
          0,           0,          24,       -1.93607754,      0.7963490318,      0.1761499656,       3.389727687,     -0.1360360103,       4.077757562
          0,           0,          25,      -1.932508286,      0.7992690397,      0.1758749479,       3.392078181,     -0.1197189504,       4.080873621
          0,           0,          26,      -1.929246107,      0.8016042992,      0.1760373863,       3.393127031,     -0.1018369403,       4.084145723
          0,           0,          27,       -1.92642475,       0.803249395,      0.1784369133,       3.392675359,    -0.08431217399,       4.087677215
          0,           0,          28,      -1.924243995,      0.8039078298,      0.1826149254,       3.390166189,    -0.06536035596,       4.091451992
          0,           0,          29,        -1.9219209,      0.8043293932,      0.1913700062,       3.386636736,    -0.04475161024,       4.095610989
          0,           0,          30,      -1.918817425,      0.8045847961,      0.2033246892,       3.383760642,    -0.02306164116,       4.100204267
          0,           0,          31,      -1.914542286,      0.8047780604,      0.2163259915,        3.38192996,   -0.001285467449,       4.104682864
          0,           0,          32,      -1.909459705,      0.8054403402,      0.2303495069,       3.381998047,     0.02268619684,       4.109859419
          0,           0,          33,       -1.90447668,      0.8066069165,      0.2412494193,       3.384130551,     0.04816554938,        4.11498841
          0,           0,          34,      -1.900683875,      0.8080143624,      0.2466846016,       3.384693629,     0.07451235134,       4.121178927
          0,           0,          35,      -1.898050182,      0.8107914787,      0.2456815157,       3.382290331,       0.101979526,       4.126074055
          0,           0,          36,      -1.896787945,       0.815775805,      0.2449019389,       3.377157508,      0.1293371068,       4.131532181
          0,           0,          37,      -1.891755324,      0.8210475603,      0.2506651788,       3.383376403,      0.1584121118,       4.136831205
          0,           0,          38,      -1.886104424,      0.8271963964,      0.2539312801,       3.390542504,      0.1882632184,       4.141953583
          0,           0,          39,       -1.87984644,      0.8341932534,      0.2655080449,       3.399381526,      0.2200320713,       4.146356978
          0,           0,          40,      -1.873652418,      0.8400293464,      0.2759275625,       3.408858491,      0.2492919901,       4.149643389
          0,           0,          41,       -1.86990064,       0.844031373,      0.2772852452,       3.414130118,      0.2824300686,       4.152089351
          0,           0,          42,      -1.863770356,      0.8549013828,      0.2872587148,        3.42153704,      0.3106433143,       4.155841618
          0,           0,          43,       -1.85189973,      0.8717215127,      0.3067375096,       3.439391081,      0.3452564624,       4.157777215
          0,           0,          44,      -1.840310378,      0.8832503727,      0.3697654256,       3.456892427,      0.3722448699,       4.161421164
          0,           0,          45,      -1.836122079,      0.8807032873,      0.5568143247,       3.461749728,      0.4076844752,       4.161047355
          0,           0,          46,      -1.829047587,        0.92215862,      0.8569784637,       3.471481016,      0.4353209726,       4.160592219
          0,           0,          47,      -1.821903958,       1.022157496,       1.205495554,       3.483262367,      0.4572764032,       4.160180436
          0,           0,          48,      -1.793294927,       1.209487781,       1.499108151,       3.537177573,      0.4757617414,       4.165007757
          0,           0,          49,      -1.649772364,       1.248196892,       1.472948321,       3.777303515,      0.5166164366,       4.170730513
          0,           0,          50,      -1.595558185,       1.327930908,       1.581302423,       3.859115938,      0.5319725479,       4.177872243
          0,           0,          51,      -1.535514311,       1.415506519,       1.680554106,       3.924638307,      0.5573917268,       4.202495272
          0,           0,          52,       -1.46326208,       1.456925659,       1.709207442,        4.01084519,      0.6105880271,       4.221567835
          0,           0,          53,      -1.460968231,       1.455588001,       1.677235993,       4.000097123,      0.6412146062,       4.279214814
          0,           0,          54,      -1.463652478,       1.436162864,       1.618979527,       3.999935085,      0.6773650578,        4.33194563
          0,           0,          55,      -1.501379693,       1.431060394,       1.637777438,       3.951688586,      0.7007339017,       4.343156084
          0,           0,          56,      -1.581600786,       1.379486837,        1.56123747,       3.852851246,      0.7059657652,       4.365240101
          0,           0,          57,        -1.6349439,       1.372520868,       1.561848928,       3.789259325,      0.7416729517,       4.399362403
          0,           0,          58,      -1.634211442,        1.38320004,       1.579835695,       3.795022209,      0.7588636672,       4.424698544
          0,           0,          59,      -1.611945906,       1.409006298,        1.61648274,       3.810177523,      0.8004888029,       4.449081181
          0,           0,          60,      -1.604542098,       1.445170769,       1.661746996,       3.824073442,       0.833588279,       4.466835296
          0,           0,          61,      -1.597634732,       1.479267201,       1.704431497,       3.840999943,      0.8612086503,       4.485501261
          0,           0,          62,      -1.574172225,        1.51127196,        1.74887908,       3.865456097,      0.9062617464,       4.504330911
          0,           0,          63,      -1.553918993,       1.532417886,       1.786458481,        3.88535737,      0.9357385466,       4.529589193
          0,           0,          64,      -1.505236222,       1.543112156,       1.802179015,        3.93511004,      0.9860771109,       4.563859462
          0,           0,          65,      -1.480363123,       1.552847549,       1.809793873,       3.961886752,       1.009685948,       4.600517659
          0,           0,          66,      -1.461730157,       1.570134694,       1.814059757,       3.992218485,       1.090635652,       4.649237658
          0,           0,          67,      -1.413610765,        1.56656625,       1.799995323,       4.044861005,        1.00091943,       4.679042371
          0,           0,          68,      -1.421744944,       1.564066672,       1.798274064,       4.028636354,       1.093707198,       4.712204274
          0,           0,          69,      -1.424300276,       1.563013004,       1.808327155,       4.030199933,       1.035419166,       4.742160986
          0,           0,          70,      -1.421971204,       1.585878782,       1.814402097,       4.030758901,       1.126080417,       4.761942928
          0,           0,          71,      -1.409523513,       1.592425746,       1.832884873,       4.051100043,       1.094916269,       4.768127969
          0,           0,          72,      -1.383615485,        1.61325078,       1.857490263,       4.069957885,       1.097247749,       4.767969499
          0,           0,          73,      -1.321542544,       1.617150455,        1.88326067,       4.143460494,       1.125757964,       4.762046604
          0,           0,          74,       -1.29430055,       1.624249993,       1.853042427,       4.173959176,       1.110338694,       4.757027201
          0,           0,          75,      -1.303991956,       1.605708031,       1.840061647,       4.171247749,       1.133598988,       4.739226883
          0,           0,          76,      -1.305426816,       1.597741313,       1.829664916,       4.161602238,       1.161444591,       4.707378572
          0,           0,          77,      -1.300591551,       1.613276911,       1.851190906,       4.156313555,       1.153525076,       4.680883699
          0,           0,          78,      -1.315406579,       1.622963134,       1.902605292,       4.155457255,        1.19515835,       4.664498957
          0,           0,          79,      -1.320402339,       1.609092693,       1.944821378,       4.158315374,       1.219551593,       4.682770047
          0,           0,          80,      -1.278487102,       1.645339513,       1.958623789,       4.202367754,       1.226270812,       4.680217822
          0,           0,          81,      -1.254269692,        1.65180099,        1.99672175,        4.21955257,        1.25209084,       4.686199302
          0,           0,          82,      -1.249338161,       1.669186561,       2.021160286,       4.237231511,       1.272734609,       4.670382917
          0,           0,          83,      -1.197541471,        1.67142033,       2.036897036,       4.283450338,       1.328443234,       4.663123259
          0,           0,          84,      -1.207961617,       1.683082061,       2.005954738,       4.277343558,       1.405986767,       4.632600521
          0,           0,          85,      -1.200726277,       1.652128088,        2.02008926,       4.287471872,        1.36946335,       4.602357257
          0,           0,          86,      -1.198595785,       1.679300642,       2.030399728,       4.293052286,       1.351706016,       4.561553265
          0,           0,          87,      -1.170805325,       1.672588864,       2.062849567,       4.332164544,       1.362931975,       4.591469249
          0,           0,          88,        -1.1407378,       1.715370231,       2.045523176,       4.350155596,       1.403406155,       4.647321293
          0,           0,          89,      -1.096162546,       1.720353544,       2.021741327,       4.404426907,       1.419641337,       4.653876054
          0,           0,          90,      -1.134221585,       1.716576106,       1.993047533,       4.376737528,       1.460802614,       4.658794731
          0,           0,          91,      -1.143039632,       1.689140888,       1.992826827,       4.339217858,       1.503480797,       4.648774627
          0,           0,          92,      -1.161836334,       1.667433303,       2.009862676,       4.312814803,       1.534061967,        4.62375377
          0,           0,          93,      -1.126641819,       1.695191792,       1.996259442,       4.351687627,       1.500432087,       4.592043557
          0,           0,          94,      -1.153318704,       1.677101984,       1.997722037,       4.308617176,       1.577329666,       4.618713541
          0,           0,          95,       -1.10999052,       1.713718489,       2.017197726,       4.358391307,        1.57621477,       4.612253076
          0,           0,          96,      -1.098291828,       1.718191373,       1.982730524,       4.391512666,       1.517799762,       4.615831211
          0,           0,          97,      -1.121723442,       1.690453498,       1.984770947,       4.343358442,       1.555820331,       4.633460068
          0,           0,          98,      -1.110598486,        1.68389747,       1.971512481,       4.347218882,       1.593042696,        4.63580511
