"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,       -2.42044632,      0.3629452263,      0.3848507315,       3.069317606,       1.506660025,       4.255529657
          0,           0,           1,      -2.333988014,      0.4428519818,      0.2382468582,       3.155979963,       1.508257776,       4.251701814
          0,           0,           2,      -2.296372672,      0.4796564907,      0.1237230653,       3.192630304,       1.512106985,        4.24657458
          0,           0,           3,      -2.280361647,      0.4928868627,      0.0546417088,       3.207257839,       1.518519658,       4.240836428
          0,           0,           4,      -2.277968426,      0.4931081205,     0.01207712561,       3.208059729,       1.527442279,       4.235014496
          0,           0,           5,      -2.282434316,      0.4863433754,    -0.01232555666,       3.201921487,       1.537032335,       4.229267453
          0,           0,           6,      -2.290496744,      0.4761989294,    -0.02864550776,       3.192224504,       1.548621798,       4.223294275
          0,           0,           7,      -2.300123319,      0.4645110632,    -0.03953242075,       3.180982223,        1.56115861,       4.216816264
          0,           0,           8,      -2.309878792,      0.4523329709,     -0.0490607914,       3.169747435,       1.575000695,       4.209467428
          0,           0,           9,      -2.319741365,      0.4402459825,    -0.05832706675,       3.158478258,       1.589563255,       4.201273804
          0,           0,          10,      -2.328611473,        0.42875537,    -0.06816446765,       3.148340746,       1.603711631,       4.192088033
          0,           0,          11,      -2.336875031,      0.4180170127,    -0.07603539941,       3.138959768,       1.617070902,        4.18199897
          0,           0,          12,      -2.344445683,      0.4080595285,    -0.08534220367,       3.130428009,        1.62995422,       4.170724422
          0,           0,          13,      -2.350994386,      0.3987151402,    -0.09105440073,       3.123001432,       1.641748015,       4.157611753
          0,           0,          14,      -2.357901113,      0.3902781081,    -0.09489970185,       3.115204779,       1.652828979,       4.142628817
          0,           0,          15,       -2.36466671,      0.3830729008,    -0.09530388327,       3.107888735,       1.663305105,       4.126024001
          0,           0,          16,      -2.370609457,      0.3765347454,    -0.09644859714,       3.101593452,       1.673689597,       4.109184319
          0,           0,          17,      -2.375086275,      0.3703771637,    -0.09366269484,       3.096845436,       1.682829506,       4.092208158
          0,           0,          18,      -2.378564962,       0.365869929,    -0.08629931224,       3.092972976,       1.692315371,       4.072787611
          0,           0,          19,      -2.382902697,      0.3631663491,    -0.06245696503,       3.089535541,       1.702563281,       4.052124166
          0,           0,          20,      -2.388798647,      0.3598712111,    -0.01537790255,       3.085249323,       1.714444047,       4.030468123
          0,           0,          21,      -2.394191482,      0.3574344669,     0.07653897267,       3.080470263,       1.728753161,       4.010120196
          0,           0,          22,      -2.398397976,       0.362084746,      0.2216809415,       3.076648472,        1.74646943,       3.992615167
          0,           0,          23,      -2.400076902,      0.3859196965,      0.4129467821,       3.075690319,       1.767017394,       3.978408794
          0,           0,          24,      -2.397999463,      0.4493074875,      0.6295918364,       3.079351638,       1.789631893,       3.967512004
          0,           0,          25,       -2.38544107,      0.5601164265,      0.8434802738,       3.094241052,       1.810523599,       3.958110896
          0,           0,          26,      -2.352210541,      0.6596170315,      0.9697345381,       3.132401027,       1.827825609,       3.950590304
          0,           0,          27,      -2.249733514,      0.7237423954,       1.025313376,       3.225051243,       1.842661642,       3.944429998
          0,           0,          28,      -2.192637104,       0.786054541,       1.093329539,       3.280213255,       1.859772451,       3.936656412
          0,           0,          29,      -2.160216938,      0.8331847821,       1.175059101,       3.309250871,       1.878461295,       3.935560623
          0,           0,          30,      -2.080153307,      0.9166356937,       1.239294859,       3.395452722,       1.900628499,       3.930342989
          0,           0,          31,        -2.0108078,      0.9492359618,       1.240647241,       3.460812892,       1.925207829,        3.93406371
          0,           0,          32,      -1.971199515,      0.9827619168,       1.247246874,       3.501064394,       1.946680999,        3.92236429
          0,           0,          33,      -1.926971108,       1.015523019,       1.250237495,       3.548701671,       1.966494413,       3.928528462
          0,           0,          34,       -1.88920053,       1.042537482,       1.264827804,       3.588989952,       1.982115261,       3.913736706
          0,           0,          35,      -1.902994478,       1.062074141,       1.303869177,        3.57145838,       1.997542897,       3.920298529
          0,           0,          36,      -1.872703997,       1.117870456,       1.352992898,        3.60347788,       2.011259548,       3.942275754
          0,           0,          37,      -1.825495926,        1.16808134,       1.390307686,       3.638705005,       2.023722915,       3.980244012
          0,           0,          38,      -1.775346872,       1.227839276,       1.440526754,       3.706852154,       2.035538975,        4.03178821
          0,           0,          39,      -1.755919578,       1.256442143,        1.48399738,       3.728706953,       2.045437318,        4.07800034
          0,           0,          40,      -1.697673303,        1.31553929,       1.505934869,       3.794532189,       2.055537956,       4.106240554
          0,           0,          41,      -1.668691507,       1.323827585,       1.517078366,       3.839734925,       2.065100938,       4.140996208
          0,           0,          42,       -1.64995078,       1.336598173,        1.53039521,       3.832819356,       2.071805968,       4.214816779
          0,           0,          43,      -1.613848133,       1.349812742,       1.563128518,        3.86996065,       2.078135479,       4.256556728
          0,           0,          44,      -1.624944953,        1.35373869,       1.550322257,       3.867574171,       2.083810483,       4.285820658
          0,           0,          45,      -1.642312773,        1.35883853,       1.550026062,       3.850036467,       2.090956562,       4.354144557
