"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "Time_Step"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          1,           0,           0,             5e-08,             5e-08,      -2.607973424,      0.1715987218,     0.08385228186,       2.833818526,       2.025158329,        6.02551369
          1,           0,          10,             5e-08,             5e-08,      -3.526728604,     -0.6794490488,     -0.8836674733,       1.960306028,       1.028990832,       5.873856532
          1,           0,          20,             5e-08,             5e-08,       -3.64949288,     -0.8456411948,      -1.029482631,       1.837637293,      0.8247578731,       5.742151013
          1,           0,          30,             5e-08,             5e-08,       -3.72585624,     -0.9628466755,      -1.124752326,       1.761996118,      0.7515804021,       5.617069963
          1,           0,          40,             5e-08,             5e-08,      -3.783458493,      -1.053742404,      -1.195762392,       1.703304416,      0.6960983026,       5.516240029
          1,           0,          49,             5e-08,             5e-08,      -3.828871368,      -1.120559923,      -1.246534021,       1.656340115,      0.6544243073,        5.44267667
          2,           0,           0,             1e-07,             5e-08,      -2.616244261,      0.1523459227,     0.04789562574,       2.816680756,       1.982456941,       5.571025384
          2,           0,          10,             1e-07,             5e-08,      -3.621161871,     -0.7513682855,     -0.9938807512,       1.854098744,      0.7462876944,       5.405920022
          2,           0,          20,             1e-07,             5e-08,      -3.730137092,      -0.910206786,      -1.117752871,       1.750678359,       0.623342958,       5.286719296
          2,           0,          30,             1e-07,             5e-08,      -3.797630762,      -1.018779767,      -1.196385507,       1.685879232,      0.5491120247,        5.19116102
          2,           0,          40,             1e-07,             5e-08,      -3.848386933,      -1.100806115,      -1.255733749,       1.636803481,      0.4904287233,       5.107696724
          2,           0,          49,             1e-07,             5e-08,      -3.886468613,      -1.160636573,      -1.300505453,       1.599624678,      0.4455252186,       5.039900451
          3,           0,           0,           1.5e-07,             5e-08,      -2.623294782,      0.1396923553,     0.02331131028,       2.802746633,        1.94346683,       5.234542186
          3,           0,          10,           1.5e-07,             5e-08,      -3.666297094,     -0.7953348877,      -1.038097421,       1.808114959,      0.6756225799,       5.139959817
          3,           0,          20,           1.5e-07,             5e-08,      -3.772787371,     -0.9496675513,       -1.16110703,        1.70827161,      0.5557922869,       5.060542348
          3,           0,          30,           1.5e-07,             5e-08,      -3.837233047,      -1.053008365,      -1.238787147,       1.646106069,       0.487907802,       4.989580722
          3,           0,          40,           1.5e-07,             5e-08,      -3.884918015,      -1.130726361,      -1.295917045,       1.599407781,      0.4344219882,       4.923962415
          3,           0,          49,           1.5e-07,             5e-08,      -3.920182465,      -1.187702168,      -1.337594156,       1.564673313,      0.3935593268,       4.868381638
